IKr	t
-0.00510163395614	0.0
0.000533223186714	0.1
0.00328745047243	0.2
0.00435228032957	0.3
-0.00253380067043	0.4
-7.60405275714e-05	0.5
-7.60355275714e-05	0.6
-0.00207383824186	0.7
0.00738660175814	0.8
-0.00680515752757	0.9
-0.00373705824186	1.0
0.00343240318671	1.1
-0.00173490038471	1.2
0.00179207247243	1.3
-0.0117839003847	1.4
-0.00339700681329	1.5
0.00804708318671	1.6
0.0159838217581	1.7
0.00269343175814	1.8
-0.0102798203847	1.9
-0.0150056832419	2.0
-0.00189183952757	2.1
-0.00386676324186	2.2
0.00101060032957	2.3
-0.00481715338471	2.4
0.00263894132957	2.5
-0.00178175752757	2.6
0.00328525161529	2.7
0.00649177818671	2.8
-0.000369231384714	2.9
-0.000222081813286	3.0
-0.0101304982419	3.1
-0.004525067099	3.2
0.000363197329571	3.3
-0.00372616338471	3.4
0.00236317861529	3.5
0.002493983901	3.6
-0.00331199467043	3.7
0.00341713332957	3.8
0.009527198901	3.9
0.00419967804386	4.0
0.00299861532957	4.1
-0.00510926095614	4.2
-0.0107757196704	4.3
-0.001153955099	4.4
0.00266510604386	4.5
-0.004343049099	4.6
0.00436099461529	4.7
0.0107620596153	4.8
0.009515198901	4.9
-0.00314088681329	5.0
-0.00846509967043	5.1
-0.000515279670429	5.2
-0.00218830324186	5.3
-0.000204657241857	5.4
-0.00523132867043	5.5
0.003308142901	5.6
0.00558606604386	5.7
-0.00630271252757	5.8
-4.44339561428e-05	5.9
0.003308138901	6.0
-0.00233652181329	6.1
-0.004030246099	6.2
0.000217141472429	6.3
0.00752611247243	6.4
0.002496158901	6.5
-0.000400814670429	6.6
-0.00680843767043	6.7
-0.00648363824186	6.8
0.00285800747243	6.9
0.000863456758143	7.0
0.00192612032957	7.1
-0.00157795324186	7.2
0.00482094318671	7.3
0.000528876043857	7.4
-0.00451197038471	7.5
0.00556971647243	7.6
-0.00115286181329	7.7
-0.00160518138471	7.8
-0.00449454481329	7.9
-0.00418392538471	8.0
-0.000987210384714	8.1
0.00160678361529	8.2
0.00954786961529	8.3
-0.00113871467043	8.4
0.00160133661529	8.5
-0.00512124467043	8.6
-0.00528474181329	8.7
-0.00132290824186	8.8
0.002188799901	8.9
0.00588905118671	9.0
0.00176917318671	9.1
0.00496807675814	9.2
0.00131685961529	9.3
-0.00616430152757	9.4
0.000254192043857	9.5
-0.002957761099	9.6
-0.00295015295614	9.7
-0.0125631839561	9.8
0.00268034604386	9.9
0.00557843675814	10.0
0.00481548575814	10.1
0.00816702232957	10.2
0.00191196761529	10.3
0.00237517704386	10.4
-0.00144823824186	10.5
0.00296156175814	10.6
-0.00251743752757	10.7
-0.00404877395614	10.8
0.00327000661529	10.9
-0.000224270384714	11.0
0.00330705961529	11.1
0.001919598901	11.2
-0.0121195703847	11.3
-0.00143406324186	11.4
-0.00127602681329	11.5
-0.00236267295614	11.6
0.00496154104386	11.7
0.00604602132957	11.8
0.002973543901	11.9
-0.00892286967043	12.0
0.00419642247243	12.1
0.002981168901	12.2
-0.00160518638471	12.3
-0.00496104138471	12.4
-0.00296321938471	12.5
0.000819887329571	12.6
-0.000732169670429	12.7
-0.00193324724186	12.8
0.00251359532957	12.9
0.000540848186714	13.0
-0.000530543956143	13.1
-0.00189946952757	13.2
0.00280897175814	13.3
-0.00345368181329	13.4
0.000835135329571	13.5
0.00100297632957	13.6
0.000819885329571	13.7
-0.000112001813286	13.8
-0.012445461099	13.9
-0.00222315738471	14.0
-0.000836792956143	14.1
0.00283075947243	14.2
0.00985850175814	14.3
-0.000237337813286	14.4
-0.0115332112419	14.5
0.000678188186714	14.6
-0.00145152238471	14.7
-0.00191036138471	14.8
0.00326674175814	14.9
0.0116470417581	15.0
0.00293431375814	15.1
0.004325033901	15.2
-0.00190056181329	15.3
-0.00861333252757	15.4
-0.00952450538471	15.5
-0.00189728395614	15.6
0.00451140004386	15.7
0.000976832472429	15.8
0.00418988475814	15.9
0.007261243901	16.0
-0.00172617181329	16.1
-0.0130133146704	16.2
-0.0169718903847	16.3
-0.00418064624186	16.4
0.000218246043857	16.5
0.00297027247243	16.6
0.0101440667581	16.7
-0.00359209324186	16.8
-0.00511034824186	16.9
0.00450813818671	17.0
-0.00464168538471	17.1
0.00282531104386	17.2
-0.000985028813286	17.3
0.000859099615286	17.4
-0.00143080967043	17.5
0.00419969032957	17.6
-0.00478774967043	17.7
-0.00312888281329	17.8
-0.00634630124186	17.9
-0.00479972481329	18.0
0.00206238104386	18.1
0.00679695818671	18.2
0.00587162461529	18.3
0.000676011615286	18.4
0.00252451047243	18.5
0.00600347032957	18.6
-0.00358120395614	18.7
-0.00419155695614	18.8
0.00708685932957	18.9
-0.000702744670429	19.0
-0.00207383624186	19.1
0.000214983758143	19.2
-0.00192669467043	19.3
-0.004953397099	19.4
-0.00128149052757	19.5
0.00208524604386	19.6
-0.005548501099	19.7
-0.00218721395614	19.8
-0.00600190695614	19.9
-0.00433760467043	20.0
-0.00219046395614	20.1
0.00375175175814	20.2
-0.00143843467043	20.3
0.00327763061529	20.4
0.00282423175814	20.5
-0.00905912038471	20.6
-0.00310926967043	20.7
-0.000811729099	20.8
-0.00111254395614	20.9
-0.00568038438471	21.0
0.00651139961529	21.1
0.001171908901	21.2
-0.00417846467043	21.3
-0.00251416967043	21.4
0.000243293186714	21.5
0.003438938901	21.6
0.007253628901	21.7
-0.003442768099	21.8
0.00189344975814	21.9
-0.00831469524186	22.0
-0.00558335824186	22.1
-0.000853138241857	22.2
0.00219862175814	22.3
